SK_Product,SK_Time,SK_Store,SK_Staff,SK_Order,SK_Customer,item_quantity,stock_quantity,discount
3,20160908,2,7,979,1273,2,16,0.07
3,20160913,2,7,989,1143,1,16,0.05
3,20160925,2,7,1015,555,2,16,0.07
3,20160930,2,8,1031,856,2,16,0.10
3,20161002,2,8,1037,675,2,16,0.07
3,20161003,2,7,1038,1429,1,16,0.20
3,20161008,1,3,1052,56,2,24,0.05
3,20161010,2,7,1057,551,2,16,0.20
3,20161010,2,7,1059,371,1,16,0.10
3,20161019,2,8,1076,1224,1,16,0.07
3,20161021,2,7,1081,1018,2,16,0.07
3,20161023,2,8,1087,1141,1,16,0.05
3,20161026,2,7,1091,109,1,16,0.05
3,20161028,2,8,1093,1087,2,16,0.05
3,20161029,2,8,1100,454,2,16,0.05
3,20161102,2,8,1105,163,2,16,0.07
3,20161106,2,8,1111,694,1,16,0.05
3,20161115,2,8,1126,495,2,16,0.05
3,20161122,1,4,1135,667,2,24,0.20
3,20161127,2,8,1148,1246,1,16,0.07
3,20161130,1,4,1151,982,2,24,0.20
3,20161206,1,3,1158,877,1,24,0.20
3,20161206,2,8,1164,261,2,16,0.10
3,20161207,3,9,1166,356,2,8,0.05
3,20161218,1,3,1189,1063,1,24,0.05
3,20161224,2,7,1200,1241,2,16,0.05
3,20161226,2,7,1207,452,2,16,0.07
3,20170108,2,7,1223,223,2,16,0.07
3,20170228,3,9,1330,213,2,8,0.07
3,20170307,2,7,1351,119,2,16,0.07
3,20170330,2,7,1403,167,2,16,0.20
3,20170412,2,7,1433,1325,1,16,0.05
3,20170511,2,8,1488,1304,2,16,0.05
3,20170607,2,7,1543,1346,1,16,0.20
3,20170626,3,9,1596,1099,2,8,0.07
3,20170730,2,8,41,1330,1,16,0.05
3,20170914,2,8,142,1386,1,16,0.10
3,20170928,2,8,170,206,2,16,0.10
3,20171014,2,7,208,1403,1,16,0.07
3,20171118,2,7,284,825,1,16,0.07
3,20180109,1,3,376,1341,2,24,0.07
4,20160104,2,8,1394,230,1,0,0.05
4,20160105,2,8,113,365,2,0,0.10
4,20160114,1,4,706,938,1,29,0.05
4,20160116,1,3,751,42,1,29,0.05
4,20160118,2,7,784,1066,1,0,0.20
4,20160122,2,8,895,1240,1,0,0.07
4,20160125,2,8,939,331,2,0,0.20
4,20160128,2,8,1006,248,1,0,0.07
4,20160206,1,4,1173,505,1,29,0.20
4,20160207,1,3,1195,568,2,29,0.10
4,20160207,2,7,1217,208,2,0,0.20
4,20160210,2,8,1272,462,2,0,0.10
4,20160212,2,8,1317,1017,1,0,0.07
4,20160226,1,4,1539,367,2,29,0.07
4,20160228,2,7,1594,218,2,0,0.20
4,20160302,2,8,25,710,1,0,0.07
4,20160306,2,7,91,224,2,0,0.07
4,20160306,2,7,102,286,2,0,0.10
4,20160309,2,8,169,412,1,0,0.20
4,20160310,2,7,191,1159,2,0,0.20
4,20160319,3,9,347,688,2,20,0.20
4,20160320,2,8,369,791,1,0,0.20
4,20160323,2,8,413,748,1,0,0.10
4,20160329,2,7,580,1180,2,0,0.20
4,20160404,2,8,680,616,1,0,0.05
4,20160409,1,4,693,166,2,29,0.20
4,20160412,2,8,700,404,2,0,0.20
4,20160501,2,7,730,85,2,0,0.07
4,20160504,2,7,735,1042,2,0,0.05
4,20160511,1,4,747,633,2,29,0.10
4,20160512,2,7,752,400,2,0,0.10
4,20160517,2,8,760,1020,1,0,0.05
4,20160526,2,7,771,392,2,0,0.05
4,20160528,2,7,778,1398,1,0,0.10
4,20160601,2,7,783,498,1,0,0.10
4,20160601,2,8,786,1282,2,0,0.05
4,20160611,1,4,803,650,2,29,0.20
4,20160621,2,8,819,1226,1,0,0.07
4,20160701,2,8,834,148,2,0,0.07
4,20160704,3,10,837,1319,1,20,0.20
4,20160706,2,7,842,525,1,0,0.10
4,20160709,2,8,847,808,1,0,0.07
4,20160715,2,8,856,24,2,0,0.20
4,20160717,2,8,859,1219,1,0,0.05
4,20160720,2,7,867,870,2,0,0.20
4,20160728,1,4,882,373,1,29,0.10
4,20160801,2,7,889,1170,1,0,0.05
4,20160803,1,3,897,344,2,29,0.07
4,20160816,2,8,921,711,1,0,0.10
4,20160820,2,8,932,705,2,0,0.05
4,20160831,1,4,955,978,2,29,0.05
4,20160903,2,8,969,421,1,0,0.07
4,20160908,1,4,978,1080,1,29,0.10
4,20160911,2,7,985,639,2,0,0.10
4,20160914,3,10,990,1191,1,20,0.05
4,20160916,3,9,993,686,1,20,0.10
4,20160919,1,3,1000,670,1,29,0.07
4,20160919,2,8,1002,779,1,0,0.20
4,20160925,3,9,1018,1104,2,20,0.10
4,20160928,3,9,1025,953,2,20,0.10
4,20161001,2,7,1035,957,2,0,0.07
4,20161006,2,7,1048,1360,1,0,0.05
4,20161009,1,3,1053,549,2,29,0.10
4,20161010,1,4,1056,1128,1,29,0.20
4,20161018,2,8,1075,755,2,0,0.05
4,20161023,2,8,1087,1141,2,0,0.07
4,20161029,3,10,1101,1264,2,20,0.10
4,20161031,1,4,1102,1179,1,29,0.10
4,20161104,1,4,1108,256,2,29,0.05
4,20161113,1,4,1122,47,1,29,0.05
4,20161204,2,8,1155,235,1,0,0.05
4,20161209,2,7,1171,1,2,0,0.20
4,20161212,2,8,1183,1331,2,0,0.10
4,20161224,2,7,1200,1241,1,0,0.07
4,20161227,2,8,1209,518,2,0,0.10
4,20170116,2,8,1235,1390,1,0,0.07
4,20170118,2,7,1241,1032,2,0,0.05
4,20170119,1,4,1242,142,1,29,0.07
4,20170218,2,8,1309,445,2,0,0.07
4,20170301,2,8,1334,1111,2,0,0.20
4,20170306,3,10,1348,1395,2,20,0.07
4,20170316,1,3,1376,384,2,29,0.05
4,20170316,2,8,1377,815,1,0,0.07
4,20170401,3,9,1407,507,1,20,0.20
4,20170415,2,8,1441,812,2,0,0.10
4,20170523,2,8,1513,1310,2,0,0.20
4,20170527,1,3,1520,913,2,29,0.20
4,20170614,2,7,1557,920,2,0,0.20
4,20170624,3,9,1588,905,2,20,0.20
4,20170626,3,10,1597,473,2,20,0.10
4,20170925,2,8,167,423,1,0,0.07
4,20171001,2,8,182,792,1,0,0.20
4,20171028,2,7,241,1206,1,0,0.05
4,20180426,1,3,653,532,2,29,0.10
5,20160109,2,8,557,837,2,12,0.20
5,20160112,1,4,695,197,1,9,0.10
5,20160116,1,3,762,168,2,9,0.10
5,20160118,2,7,784,1066,2,12,0.20
5,20160121,2,7,873,599,2,12,0.07
5,20160125,2,8,928,984,1,12,0.07
5,20160203,2,7,1095,1408,2,12,0.05
5,20160204,2,8,1139,342,2,12,0.10
5,20160205,2,7,1150,897,1,12,0.10
5,20160207,2,7,1217,208,2,12,0.20
5,20160209,2,8,1239,284,1,12,0.07
5,20160209,3,9,1250,921,2,8,0.20
5,20160212,2,8,1317,1017,2,12,0.20
5,20160217,2,7,1406,916,2,12,0.05
5,20160220,2,8,1439,689,2,12,0.07
5,20160221,2,7,1472,910,2,12,0.10
5,20160221,2,8,1461,643,2,12,0.07
5,20160227,2,8,1572,107,1,12,0.05
5,20160229,3,10,1605,186,2,8,0.20
5,20160308,2,7,136,857,2,12,0.20
5,20160308,2,7,147,89,1,12,0.20
5,20160312,1,3,202,977,2,9,0.07
5,20160323,2,8,413,748,1,12,0.07
5,20160408,1,4,690,974,1,9,0.20
5,20160411,2,8,698,90,1,12,0.07
5,20160427,1,3,719,1357,1,9,0.05
5,20160501,2,7,730,85,2,12,0.05
5,20160517,2,8,760,1020,2,12,0.10
5,20160522,2,7,767,486,1,12,0.10
5,20160601,2,8,786,1282,2,12,0.20
5,20160606,2,7,796,1039,2,12,0.20
5,20160611,1,4,803,650,2,9,0.10
5,20160612,2,7,805,1185,2,12,0.07
5,20160704,3,10,837,1319,1,8,0.20
5,20160718,2,7,861,1382,1,12,0.05
5,20160719,2,7,864,967,2,12,0.20
5,20160720,3,10,869,377,1,8,0.07
5,20160724,2,7,872,641,1,12,0.20
5,20160731,1,4,886,399,2,9,0.05
5,20160801,3,10,891,985,1,8,0.20
5,20160802,2,7,892,8,1,12,0.07
5,20160804,2,7,902,212,2,12,0.05
5,20160817,2,7,924,1253,2,12,0.10
5,20160822,3,10,940,976,1,8,0.05
5,20160826,1,4,944,917,1,9,0.05
5,20160830,2,7,953,36,1,12,0.20
5,20160903,2,8,968,297,2,12,0.20
5,20160905,1,4,975,604,2,9,0.20
5,20160906,2,8,977,443,2,12,0.07
5,20160908,2,7,980,1385,2,12,0.05
5,20160916,2,8,991,1215,1,12,0.20
5,20160919,2,7,1001,739,1,12,0.20
5,20160922,2,8,1010,34,1,12,0.05
5,20160923,3,10,1013,71,1,8,0.07
5,20161004,1,4,1040,1098,2,9,0.07
5,20161006,2,7,1048,1360,2,12,0.05
5,20161006,2,8,1046,1124,2,12,0.05
5,20161007,2,7,1051,1309,1,12,0.05
5,20161009,2,7,1055,1308,1,12,0.10
5,20161010,2,7,1057,551,1,12,0.20
5,20161011,2,8,1064,1421,2,12,0.07
5,20161016,2,8,1072,598,2,12,0.20
5,20161019,2,7,1077,509,1,12,0.07
5,20161022,2,8,1083,936,2,12,0.05
5,20161102,2,8,1105,163,1,12,0.05
5,20161103,1,4,1107,479,2,9,0.07
5,20161112,2,8,1120,316,1,12,0.20
5,20161126,2,8,1144,1262,2,12,0.10
5,20161204,2,7,1157,343,2,12,0.20
5,20161204,2,8,1155,235,1,12,0.07
5,20161206,1,3,1158,877,1,9,0.05
5,20161206,2,8,1159,25,1,12,0.20
5,20161208,1,4,1168,1394,2,9,0.10
5,20161209,2,7,1171,1,1,12,0.07
5,20161219,3,10,1190,959,1,8,0.05
5,20161225,1,3,1201,184,2,9,0.10
5,20161226,1,3,1205,1417,2,9,0.10
5,20170112,3,10,1231,1430,1,8,0.10
5,20170204,2,8,1274,93,2,12,0.05
5,20170209,1,3,1291,304,2,9,0.05
5,20170219,2,7,1311,1296,1,12,0.05
5,20170326,1,4,1392,1024,1,9,0.10
5,20170403,1,4,1412,282,1,9,0.07
5,20170416,2,8,1443,68,2,12,0.07
5,20170523,2,8,1513,1310,2,12,0.20
5,20170526,2,8,1518,717,1,12,0.10
5,20170615,2,7,1559,1023,2,12,0.20
5,20170616,2,8,1565,1067,2,12,0.07
5,20170617,2,7,1568,207,1,12,0.20
5,20170723,2,7,27,280,2,12,0.07
5,20170806,2,8,50,935,1,12,0.10
5,20170810,2,7,62,490,2,12,0.20
5,20170915,2,8,144,885,2,12,0.10
5,20171004,2,7,189,38,2,12,0.10
5,20171026,2,7,233,6,1,12,0.07
5,20171109,1,3,266,971,1,9,0.10
5,20171110,2,8,270,1340,2,12,0.05
5,20180226,2,7,456,194,2,12,0.20
5,20180412,3,9,590,892,1,8,0.05
5,20180427,1,4,658,424,1,9,0.07
6,20180209,1,3,431,285,1,6,0.10
7,20180114,3,9,387,402,2,21,0.20
7,20180202,2,7,423,287,2,4,0.10
7,20180307,2,7,475,291,1,4,0.07
7,20180315,2,8,490,851,1,4,0.20
7,20180322,2,7,516,116,1,4,0.20
7,20180411,3,9,581,1069,2,21,0.10
7,20180423,1,3,639,603,2,21,0.10
8,20180303,2,8,464,1268,2,13,0.10
8,20180311,2,8,484,161,1,13,0.07
8,20180405,1,4,551,1102,2,16,0.05
9,20180226,3,9,457,570,1,22,0.05
9,20180331,2,8,531,725,2,4,0.10
9,20180411,2,8,579,625,2,4,0.05
9,20180418,2,7,620,780,1,4,0.10
9,20180425,2,7,650,825,2,4,0.20
9,20180427,1,3,659,520,1,28,0.20
10,20180226,2,7,455,536,1,18,0.10
12,20180214,2,8,439,944,2,3,0.05
12,20180320,2,7,510,460,1,3,0.20
12,20180320,2,8,509,1174,2,3,0.10
12,20180406,1,3,556,225,2,23,0.05
12,20180406,2,7,561,1258,1,3,0.20
13,20180101,3,10,365,966,2,26,0.07
13,20180327,1,3,522,669,1,22,0.05
13,20180402,2,8,542,1269,1,4,0.10
13,20180414,2,8,596,536,2,4,0.20
14,20180112,2,8,383,439,1,15,0.05
15,20180316,2,8,494,867,2,26,0.05
15,20180411,1,4,576,858,2,6,0.20
15,20180427,2,8,660,1002,2,26,0.05
15,20180617,2,8,674,1113,1,26,0.10
15,20180710,3,9,676,213,1,23,0.10
16,20180320,2,8,509,1174,1,1,0.10
16,20180425,1,3,648,545,1,14,0.20
17,20180219,2,7,450,193,1,28,0.07
18,20180205,2,8,426,1092,2,15,0.20
18,20180413,2,7,595,647,2,15,0.10
19,20180217,2,7,448,1432,1,3,0.10
19,20180430,2,7,672,947,2,3,0.20
19,20180430,2,7,673,1158,2,3,0.05
20,20180119,2,7,398,182,2,9,0.10
20,20180402,2,8,541,903,1,9,0.20
20,20180408,1,3,563,600,1,7,0.07
21,20180213,2,8,437,1352,1,4,0.20
21,20180426,1,3,653,532,1,13,0.07
22,20180326,2,8,521,506,2,8,0.10
23,20180421,1,3,632,1324,1,17,0.20
24,20180402,2,8,539,503,1,11,0.05
25,20180307,2,7,476,1378,1,3,0.07
25,20180310,2,8,481,268,1,3,0.07
25,20180408,2,7,566,1280,1,3,0.07
26,20180104,2,8,370,1182,1,8,0.10
26,20180116,2,7,394,484,2,8,0.10
26,20180121,3,10,401,12,1,18,0.05
26,20180403,1,4,545,552,2,6,0.20
26,20180423,2,8,643,869,2,8,0.05
27,20180104,1,4,368,829,2,10,0.20
27,20180129,2,7,416,18,2,28,0.20
27,20180320,2,7,507,775,1,28,0.07
27,20181118,2,7,684,1,2,28,0.05
29,20180418,1,4,618,528,1,20,0.20
30,20180314,2,7,485,997,2,3,0.10
30,20180424,1,3,645,47,1,28,0.07
30,20180427,1,3,659,520,2,28,0.20
31,20180328,2,8,525,898,1,15,0.05
32,20180409,2,7,571,614,1,13,0.07
33,20181021,1,4,683,669,2,2,0.05
34,20180105,2,7,371,139,1,29,0.05
36,20180209,1,3,431,285,1,30,0.20
36,20180303,2,8,463,662,2,22,0.05
36,20180405,2,8,552,1291,2,22,0.05
37,20180406,1,4,559,505,1,18,0.07
37,20180408,2,7,566,1280,2,12,0.05
37,20180423,2,8,642,224,1,12,0.05
37,20181021,1,4,683,669,2,18,0.07
38,20180322,2,7,516,116,1,7,0.10
39,20180213,2,8,437,1352,2,15,0.20
39,20180320,3,9,511,35,2,9,0.05
39,20180402,2,7,540,725,2,15,0.07
39,20180412,2,7,585,747,2,15,0.20
39,20180426,1,3,653,532,1,24,0.05
39,20180429,2,7,670,1336,1,15,0.05
40,20180106,2,8,372,621,1,8,0.20
41,20180116,2,8,393,21,2,7,0.20
41,20180119,2,8,397,15,1,7,0.10
41,20180301,3,9,462,958,2,22,0.05
41,20180416,2,7,605,980,1,7,0.20
41,20180420,2,8,626,1058,2,7,0.05
42,20180106,2,8,372,621,1,27,0.10
42,20180305,2,8,471,198,2,27,0.05
42,20180423,2,8,643,869,2,27,0.05
43,20170116,2,8,1235,1390,1,21,0.10
43,20170129,1,4,1260,1236,2,13,0.05
43,20170202,1,4,1269,926,1,13,0.07
43,20170303,3,9,1337,83,2,23,0.05
43,20170328,3,9,1399,120,2,23,0.05
43,20170402,2,8,1411,1035,2,21,0.05
43,20170416,2,7,1444,487,2,21,0.20
43,20170508,2,8,1482,575,2,21,0.20
43,20170605,1,4,1537,1399,1,13,0.20
43,20170618,2,8,1573,436,2,21,0.10
43,20170714,1,4,6,467,1,13,0.10
43,20170731,2,8,45,315,1,21,0.05
43,20170812,2,7,64,447,2,21,0.10
43,20170818,1,4,83,858,1,13,0.20
43,20171017,2,8,217,461,2,21,0.05
44,20170122,2,8,1247,1289,1,22,0.10
44,20170203,1,3,1273,110,1,11,0.20
44,20170207,3,10,1286,1281,1,15,0.05
44,20170226,2,8,1321,1261,1,22,0.05
44,20170226,3,10,1322,1379,2,15,0.20
44,20170524,1,3,1514,225,2,11,0.07
44,20170702,2,7,1604,164,2,22,0.07
44,20170731,2,7,44,257,2,22,0.05
44,20170920,3,9,155,1237,2,15,0.20
44,20171019,1,3,218,550,1,11,0.05
44,20171024,2,7,228,995,2,22,0.05
44,20171026,3,9,237,1148,1,15,0.10
44,20171118,1,4,283,114,1,11,0.20
44,20180107,2,7,374,809,2,22,0.10
44,20180329,2,7,527,158,1,22,0.20
44,20180330,1,3,528,673,2,11,0.20
45,20170103,1,3,1213,928,2,23,0.20
45,20170111,2,8,1230,548,1,6,0.05
45,20170122,2,8,1247,1289,1,6,0.05
45,20170203,1,3,1273,110,1,23,0.05
45,20170315,2,7,1371,744,1,6,0.20
45,20170315,3,10,1370,958,1,15,0.05
45,20170331,2,7,1404,687,1,6,0.05
45,20170401,3,10,1410,229,2,15,0.20
45,20170404,2,8,1414,672,1,6,0.05
45,20170411,2,7,1429,816,2,6,0.20
45,20170415,1,4,1438,372,1,23,0.10
45,20170427,3,9,1464,259,1,15,0.05
45,20170614,1,4,1555,424,2,23,0.20
45,20170614,2,7,1557,920,2,6,0.20
45,20170622,2,8,1584,1265,1,6,0.10
45,20170716,2,7,11,131,2,6,0.10
45,20170927,2,8,168,1210,1,6,0.20
45,20171031,2,7,248,1229,2,6,0.20
45,20171217,2,8,342,622,1,6,0.20
45,20180211,2,8,434,882,2,6,0.10
45,20180411,2,8,579,625,2,6,0.20
46,20170303,1,4,1336,1302,1,19,0.20
46,20170406,3,9,1421,798,2,27,0.20
46,20170531,2,7,1531,1065,1,24,0.10
46,20170711,2,8,1613,875,2,24,0.07
46,20170819,2,8,92,98,1,24,0.05
46,20170930,2,8,176,1301,1,24,0.05
46,20171001,2,7,183,1322,1,24,0.10
46,20171026,2,8,234,254,2,24,0.20
46,20171127,2,7,305,1375,1,24,0.07
46,20180116,2,7,394,484,2,24,0.20
46,20180117,2,7,395,895,2,24,0.05
46,20180320,1,4,505,655,2,19,0.05
46,20180416,2,8,604,2,2,24,0.05
46,20180417,2,7,614,769,2,24,0.05
46,20180424,1,3,647,549,2,19,0.20
47,20170403,1,4,1412,282,2,27,0.10
47,20170413,2,8,1436,1389,2,14,0.20
47,20170422,2,7,1455,533,1,14,0.10
47,20170621,2,7,1580,362,1,14,0.10
47,20170621,2,7,1581,451,1,14,0.20
47,20170630,2,8,1601,954,1,14,0.10
47,20170817,2,8,78,840,2,14,0.20
47,20170819,2,7,85,113,1,14,0.07
47,20170905,2,8,128,1222,2,14,0.07
47,20171010,3,10,198,127,1,16,0.10
47,20171015,2,8,211,1055,2,14,0.10
47,20171026,2,8,234,254,1,14,0.07
47,20171106,2,7,262,850,2,14,0.20
47,20171109,1,3,266,971,2,27,0.10
47,20171126,1,4,300,1196,2,27,0.07
47,20171127,2,7,304,1152,2,14,0.07
47,20171204,2,8,320,40,1,14,0.07
47,20171222,2,7,346,1249,2,14,0.20
47,20180213,2,7,438,210,2,14,0.20
48,20170114,1,3,1232,279,2,7,0.07
48,20170201,2,8,1268,759,2,8,0.20
48,20170202,2,8,1270,718,1,8,0.05
48,20170205,2,8,1279,272,2,8,0.07
48,20170311,1,4,1363,1082,1,7,0.20
48,20170417,2,8,1445,1072,1,8,0.05
48,20170418,2,8,1448,999,2,8,0.20
48,20170429,2,7,1468,459,1,8,0.20
48,20170515,2,8,1497,1060,1,8,0.05
48,20170617,2,7,1567,1314,1,8,0.05
48,20170620,3,9,1579,768,1,28,0.05
48,20170627,2,7,1598,178,1,8,0.05
48,20170718,1,4,16,886,1,7,0.20
48,20170828,1,3,111,1172,1,7,0.10
48,20170924,2,8,163,463,1,8,0.07
48,20171001,2,7,183,1322,1,8,0.20
48,20171012,3,10,201,170,2,28,0.05
48,20171017,2,7,216,130,2,8,0.07
48,20171118,2,7,284,825,1,8,0.20
48,20171123,2,8,293,820,2,8,0.20
48,20171210,2,8,328,449,2,8,0.10
48,20180408,2,7,567,1358,1,8,0.05
48,20180429,1,4,666,602,1,7,0.20
49,20170128,2,8,1256,660,2,8,0.05
49,20170329,2,7,1400,1391,2,8,0.20
49,20170422,2,7,1456,1197,1,8,0.20
49,20170520,2,7,1507,1415,1,8,0.20
49,20170720,2,7,22,523,1,8,0.07
49,20170723,2,7,31,341,1,8,0.07
49,20170804,2,8,49,1114,1,8,0.10
49,20170818,1,4,83,858,2,9,0.07
49,20170819,2,7,85,113,2,8,0.10
49,20170828,2,7,112,145,2,8,0.10
49,20170914,3,9,143,240,2,22,0.05
49,20171017,2,7,215,543,2,8,0.10
49,20171026,2,8,235,383,1,8,0.07
49,20171208,1,4,323,327,1,9,0.05
49,20180128,2,8,414,169,2,8,0.10
49,20180208,2,8,429,143,1,8,0.10
49,20180320,1,4,506,1005,2,9,0.10
49,20180418,1,4,617,670,1,9,0.05
50,20170110,1,4,1227,173,1,4,0.07
50,20170219,2,8,1312,1303,1,26,0.10
50,20170308,3,10,1354,1272,1,9,0.07
50,20170315,2,7,1371,744,2,26,0.20
50,20170326,1,4,1392,1024,1,4,0.05
50,20170415,2,8,1441,812,2,26,0.07
50,20170527,2,7,1521,1112,2,26,0.10
50,20170620,2,7,1578,844,2,26,0.10
50,20170620,2,8,1577,786,1,26,0.20
50,20170711,1,3,1611,1027,1,4,0.20
50,20170825,1,4,106,699,2,4,0.10
50,20170919,2,8,151,911,2,26,0.20
50,20171104,2,7,255,1117,2,26,0.20
50,20171125,2,7,298,766,1,26,0.20
50,20171214,1,4,331,594,1,4,0.10
50,20171226,1,4,354,1276,1,4,0.10
50,20180217,2,7,448,1432,1,26,0.07
50,20180316,2,7,496,174,1,26,0.10
51,20170128,2,8,1258,1235,2,0,0.05
51,20170219,2,8,1312,1303,1,0,0.05
51,20170220,1,4,1315,156,1,8,0.10
51,20170225,3,10,1319,1348,1,8,0.05
51,20170319,2,8,1384,20,1,0,0.10
51,20170326,1,4,1392,1024,2,8,0.07
51,20170330,2,8,1402,597,2,0,0.07
51,20170519,3,10,1501,754,2,8,0.05
51,20170526,2,7,1519,1321,2,0,0.05
51,20170530,1,4,1526,606,1,8,0.20
51,20170704,2,8,1606,1121,1,0,0.10
51,20170722,2,7,23,659,1,0,0.20
51,20170723,2,7,29,732,1,0,0.07
51,20170723,2,8,30,1266,1,0,0.20
51,20170829,2,7,117,355,1,0,0.07
51,20170907,2,7,131,115,2,0,0.07
51,20170908,2,7,133,708,1,0,0.20
51,20170928,2,8,170,206,1,0,0.05
51,20170929,2,7,172,274,2,0,0.20
51,20171004,2,8,190,471,2,0,0.20
51,20171015,2,8,211,1055,2,0,0.20
51,20171108,2,8,265,607,1,0,0.10
51,20171109,2,8,268,221,1,0,0.10
51,20171118,2,8,285,111,1,0,0.20
51,20171217,2,8,342,622,2,0,0.05
51,20171227,2,7,357,1008,1,0,0.20
51,20180331,2,8,531,725,2,0,0.07
51,20180428,3,9,664,570,1,8,0.05
52,20170214,2,8,1300,1231,2,22,0.20
52,20170216,2,8,1304,758,2,22,0.07
52,20170311,2,7,1365,430,1,22,0.10
52,20170316,1,3,1376,384,1,0,0.20
52,20170331,2,8,1405,250,2,22,0.10
52,20170407,1,3,1422,1439,2,0,0.10
52,20170521,2,7,1509,311,1,22,0.07
52,20170523,1,3,1511,26,2,0,0.20
